PopulationName,StratumName,PlotId,TreeNumber,StemNo,Level,Position,Diameter,Br,Sw,F,GHT
L19RAD05_FY24,HQP024,HQP024,1,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,1,0,0,1.3,323,,,NONE,
L19RAD05_FY24,HQP024,HQP024,1,0,0,2.1,,,3,NONE,
L19RAD05_FY24,HQP024,HQP024,1,0,0,9.5,,,S,NONE,
L19RAD05_FY24,HQP024,HQP024,1,0,0,18,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,1,0,0,22.4,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,1,0,0,26.48,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,2,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,2,0,0,1.3,100,,,NONE,
L19RAD05_FY24,HQP024,HQP024,2,0,0,12.1,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,3,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,3,0,0,1.3,220,,,NONE,
L19RAD05_FY24,HQP024,HQP024,3,0,0,20.5,,,L,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,3,0,0,24.1,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,4,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,4,0,0,1.3,100,,,NONE,
L19RAD05_FY24,HQP024,HQP024,4,0,0,11.9,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,5,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,5,0,0,1.3,320,,,NONE,
L19RAD05_FY24,HQP024,HQP024,5,0,0,17.3,,4,,NONE,
L19RAD05_FY24,HQP024,HQP024,5,0,0,17.6,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,5,0,0,21.3,,7,,NONE,
L19RAD05_FY24,HQP024,HQP024,5,0,0,23.3,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,5,0,0,27.64,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,7,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,7,0,0,1.3,320,,,NONE,
L19RAD05_FY24,HQP024,HQP024,7,0,0,18.4,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,7,0,0,22.9,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,7,0,0,26.68,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,9,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,9,0,0,1.3,393,,,NONE,
L19RAD05_FY24,HQP024,HQP024,9,0,0,17.8,,4,,NONE,
L19RAD05_FY24,HQP024,HQP024,9,0,0,18.4,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,9,0,0,21.8,,7,L,NONE,
L19RAD05_FY24,HQP024,HQP024,9,0,0,28.27,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,10,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,10,0,0,1.3,160,,,NONE,
L19RAD05_FY24,HQP024,HQP024,10,0,0,19.3,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,10,0,0,22.8,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,10,0,0,26.47,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,11,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,11,0,0,1.3,453,,,NONE,
L19RAD05_FY24,HQP024,HQP024,11,0,0,18.4,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,11,0,0,24.8,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,11,0,0,28.38,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,12,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,12,0,0,1.3,317,,,NONE,
L19RAD05_FY24,HQP024,HQP024,12,0,0,20.8,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,12,0,0,24.87,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,12,0,0,27.26,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,13,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,13,0,0,1.3,380,,,NONE,
L19RAD05_FY24,HQP024,HQP024,13,0,0,3,,,3,NONE,
L19RAD05_FY24,HQP024,HQP024,13,0,0,9.9,,,S,NONE,
L19RAD05_FY24,HQP024,HQP024,13,0,0,18.9,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,13,0,0,23.9,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,13,0,0,28.2,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,14,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,14,0,0,1.3,243,,,NONE,
L19RAD05_FY24,HQP024,HQP024,14,0,0,16.9,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,14,0,0,27.89,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,15,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,15,0,0,1.3,360,,,NONE,
L19RAD05_FY24,HQP024,HQP024,15,0,0,18.7,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,15,0,0,23.3,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,15,0,0,26.91,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,16,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,16,0,0,1.3,320,,,NONE,
L19RAD05_FY24,HQP024,HQP024,16,0,0,18.4,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,16,0,0,23.6,,,L,NONE,
L19RAD05_FY24,HQP024,HQP024,16,0,0,25.66,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,17,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,17,0,0,1.3,187,,,NONE,
L19RAD05_FY24,HQP024,HQP024,17,0,0,16.4,,4,S,NONE,
L19RAD05_FY24,HQP024,HQP024,19,0,0,0,,,,,
L19RAD05_FY24,HQP024,HQP024,19,0,0,1.3,297,,,NONE,
L19RAD05_FY24,HQP024,HQP024,19,0,0,18.5,,,,NONE,GCHT
L19RAD05_FY24,HQP024,HQP024,19,0,0,20.9,,,L,NONE,
