PopulationName,StratumName,PlotId,TreeNumber,DBH,Height,HeightStatus,IsDead,OutsidePlot,MirageCount,LastMeasured,Species,StemType,ResinCode,SDiamHt,SDiamEstimate,Windblown,GCHt,EdgeTree,TrComment,AuditTreeComment,T_DistA,T_DistB,T_DistC,T_DistD,Peak_Outside,Distance,Bearing,TreeLocation_X,TreeLocation_Y
L19RAD05_FY24,HQP024,HQP024,1,323,26.48,NORMAL,Live,FALSE,1,3/09/2024 11:53,PHYB,,0,,,,,,,,,,,,NO,13.10000038,16,0,0
L19RAD05_FY24,HQP024,HQP024,2,100,12.1,NORMAL,Live,FALSE,1,3/09/2024 11:53,PHYB,,0,,,,,,reg,,,,,,NO,8.43999958,34,0,0
L19RAD05_FY24,HQP024,HQP024,3,220,24.1,NORMAL,Live,FALSE,1,3/09/2024 11:53,PHYB,,0,,,,,,,,,,,,NO,6,39,0,0
L19RAD05_FY24,HQP024,HQP024,4,100,11.9,NORMAL,Live,FALSE,1,3/09/2024 11:53,PHYB,,0,,,,,,reg,,,,,,NO,4.679999828,43,0,0
L19RAD05_FY24,HQP024,HQP024,5,320,27.64,NORMAL,Live,FALSE,1,3/09/2024 11:54,PHYB,,0,,,,,,,,,,,,NO,8.390000343,47,0,0
L19RAD05_FY24,HQP024,HQP024,7,320,26.68,NORMAL,Live,FALSE,1,3/09/2024 11:55,PHYB,,0,,,,,,,,,,,,NO,11.27000046,57,0,0
L19RAD05_FY24,HQP024,HQP024,9,393,28.27,NORMAL,Live,FALSE,1,3/09/2024 11:55,PHYB,,0,,,,,,,,,,,,NO,8.279999733,78,0,0
L19RAD05_FY24,HQP024,HQP024,10,160,26.47,NORMAL,Live,FALSE,1,3/09/2024 11:56,PHYB,,0,,,,,,,,,,,,NO,12.01000023,81,0,0
L19RAD05_FY24,HQP024,HQP024,11,453,28.38,NORMAL,Live,FALSE,1,3/09/2024 11:56,PHYB,,0,,,,,,,,,,,,NO,10.89000034,131,0,0
L19RAD05_FY24,HQP024,HQP024,12,317,27.26,NORMAL,Live,FALSE,1,3/09/2024 11:56,PHYB,,0,,,,,,,,,,,,NO,13.68999958,159,0,0
L19RAD05_FY24,HQP024,HQP024,13,380,28.2,NORMAL,Live,FALSE,1,3/09/2024 11:57,PHYB,,0,,,,,,,,,,,,NO,9.050000191,173,0,0
L19RAD05_FY24,HQP024,HQP024,14,243,27.89,NORMAL,Live,FALSE,1,3/09/2024 11:57,PHYB,,0,,,,,,,,,,,,NO,10.14999962,177,0,0
L19RAD05_FY24,HQP024,HQP024,15,360,26.91,NORMAL,Live,FALSE,1,3/09/2024 11:58,PHYB,,0,,,,,,,,,,,,NO,13.64000034,178,0,0
L19RAD05_FY24,HQP024,HQP024,16,320,25.66,NORMAL,Live,FALSE,1,3/09/2024 11:58,PHYB,,0,,,,,,,,,,,,NO,13.68000031,192,0,0
L19RAD05_FY24,HQP024,HQP024,17,187,16.4,NORMAL,Live,FALSE,1,3/09/2024 11:58,PHYB,,0,,,,,,reg,,,,,,NO,1.470000029,195,0,0
L19RAD05_FY24,HQP024,HQP024,19,297,25.18,NORMAL,Live,FALSE,1,3/09/2024 11:59,PHYB,,0,,,,,,,,,,,,NO,12.82999992,236,0,0
L19RAD05_FY24,HQP024,HQP024,21,160,19.2,NORMAL,Live,FALSE,1,3/09/2024 11:59,PHYB,,0,,,,,,reg,,,,,,NO,8.729999542,244,0,0
L19RAD05_FY24,HQP024,HQP024,22,80,11.5,NORMAL,Live,FALSE,1,3/09/2024 11:59,PHYB,,0,,,,,,reg,,,,,,NO,12.77000046,245,0,0
L19RAD05_FY24,HQP024,HQP024,23,100,13.2,NORMAL,Live,FALSE,1,3/09/2024 12:00,PHYB,,0,,,,,,reg,,,,,,NO,7.880000114,252,0,0
L19RAD05_FY24,HQP024,HQP024,24,220,24.8,NORMAL,Live,FALSE,1,3/09/2024 12:00,PHYB,,0,,,,,,,,,,,,NO,12.68000031,256,0,0
L19RAD05_FY24,HQP024,HQP024,25,400,30.77,NORMAL,Live,FALSE,1,3/09/2024 12:01,PHYB,,0,,,,,,,,,,,,NO,7.769999981,257,0,0
L19RAD05_FY24,HQP024,HQP024,26,220,24.9,NORMAL,Live,FALSE,1,3/09/2024 12:02,PHYB,,0,,,,,,,,,,,,NO,4.900000095,258,0,0
L19RAD05_FY24,HQP024,HQP024,28,380,27.88,NORMAL,Live,FALSE,1,3/09/2024 12:02,PHYB,,0,,,,,,,,,,,,NO,2.519999981,267,0,0
L19RAD05_FY24,HQP024,HQP024,30,450,27.65,NORMAL,Live,FALSE,1,3/09/2024 12:02,PHYB,,0,,,,,,,,,,,,NO,8.829999924,285,0,0
L19RAD05_FY24,HQP024,HQP024,31,400,28.81,NORMAL,Live,FALSE,1,3/09/2024 12:03,PHYB,,0,,,,,,,,,,,,NO,5.679999828,321,0,0
L19RAD05_FY24,HQP128,HQP128,1,180,13.03,NORMAL,Live,FALSE,1,4/09/2024 9:42,PHYB,,0,,,,,,,,,,,,NO,9.920000076,2,0,0
L19RAD05_FY24,HQP128,HQP128,2,167,14.02,NORMAL,Live,FALSE,1,4/09/2024 9:42,PHYB,,0,,,,,,,,,,,,NO,11.93000031,5,0,0
L19RAD05_FY24,HQP128,HQP128,3,177,13.15,NORMAL,Live,FALSE,1,4/09/2024 9:43,PHYB,,0,,,,,,,,,,,,NO,13.60999966,28,0,0
L19RAD05_FY24,HQP128,HQP128,4,250,14.55,NORMAL,Live,FALSE,1,4/09/2024 9:43,PHYB,,0,,,,,,,,,,,,NO,8.850000381,31,0,0
L19RAD05_FY24,HQP128,HQP128,5,120,9.9,NORMAL,Live,FALSE,1,4/09/2024 9:43,PHYB,,0,,,,,,,,,,,,NO,6.730000019,34,0,0
L19RAD05_FY24,HQP128,HQP128,6,108,9.2,NORMAL,Live,FALSE,1,4/09/2024 9:44,PHYB,,0,,,,,,,,,,,,NO,4.789999962,41,0,0
L19RAD05_FY24,HQP128,HQP128,8,220,14.64,NORMAL,Live,FALSE,1,4/09/2024 9:44,PHYB,,0,,,,,,,,,,,,NO,12.51000023,51,0,0
L19RAD05_FY24,HQP128,HQP128,11,200,16.08,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,11.01000023,56,0,0
L19RAD05_FY24,HQP128,HQP128,12,110,6.8,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,2.869999886,58,0,0
L19RAD05_FY24,HQP128,HQP128,13,187,11.52,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,8.630000114,67,0,0
L19RAD05_FY24,HQP128,HQP128,14,177,11.9,NORMAL,Live,FALSE,1,4/09/2024 9:46,PHYB,,0,,,,,,,,,,,,NO,7.300000191,75,0,0
L19RAD05_FY24,HQP128,HQP128,16,200,15.59,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,6.659999847,95,0,0
L19RAD05_FY24,HQP128,HQP128,17,213,9.9,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,12,95,0,0
L19RAD05_FY24,HQP128,HQP128,18,223,15.51,NORMAL,Live,FALSE,1,4/09/2024 9:47,PHYB,,0,,,,,,,,,,,,NO,1.720000029,103,0,0
L19RAD05_FY24,HQP128,HQP128,19,133,9.6,NORMAL,Live,FALSE,1,4/09/2024 9:48,PHYB,,0,,,,,,,,,,,,NO,11.64999962,111,0,0
